scenario,planner,seed,k_samples,t_horizon,grad_steps,alpha,reached_goal,collision_free,success,steps,final_distance,min_goal_distance,cumulative_cost,collisions,mean_control_delta,control_roughness,avg_control_ms,total_control_ms,episode_ms,sample_budget
dynamic_crossing,c2u_mppi_smooth,1064,64,30,0,0,1,1,1,252,1.97332,1.97332,41604.5,0,0.321531,0.166114,0.127143,32.0399,32.4428,483840
dynamic_crossing,c2u_mppi_smooth,1071,64,30,0,0,1,1,1,252,1.97934,1.97934,41360.9,0,0.325674,0.174024,0.120787,30.4384,30.8329,483840
dynamic_crossing,c2u_mppi_smooth,1078,64,30,0,0,1,1,1,253,1.97999,1.97999,41800.3,0,0.357755,0.212909,0.287775,72.8071,73.2153,485760
dynamic_crossing,dra_mppi_soft,1084,64,30,0,0,1,1,1,252,1.90342,1.90342,41498.5,0,0.351979,0.198977,0.157292,39.6375,39.8896,483840
dynamic_crossing,dra_mppi_soft,1091,64,30,0,0,1,1,1,252,1.85433,1.85433,41331.4,0,0.318273,0.175676,0.290255,73.1442,73.4917,483840
dynamic_crossing,dra_mppi_soft,1098,64,30,0,0,1,1,1,252,1.95581,1.95581,41473.8,0,0.365652,0.220469,0.187958,47.3655,47.6043,483840
dynamic_crossing,ducct_mppi_smooth,1104,64,30,0,0,1,1,1,253,1.97239,1.97239,41851.9,0,0.353616,0.203388,0.186959,47.3007,47.59,485760
dynamic_crossing,ducct_mppi_smooth,1111,64,30,0,0,1,1,1,254,1.94297,1.94297,41872.3,0,0.362319,0.222369,0.265397,67.4107,67.7344,487680
dynamic_crossing,ducct_mppi_smooth,1118,64,30,0,0,1,1,1,253,1.83488,1.83488,41672.3,0,0.356003,0.213966,0.0829553,20.9877,21.2101,485760
dynamic_crossing,lp_mppi_smooth,1124,64,30,0,0,1,1,1,251,1.86201,1.86201,41369.1,0,0.328982,0.177919,0.1315,33.0065,33.29,481920
dynamic_crossing,lp_mppi_smooth,1131,64,30,0,0,1,1,1,252,1.8544,1.8544,41569.7,0,0.333684,0.181297,0.197016,49.648,50.016,483840
dynamic_crossing,lp_mppi_smooth,1138,64,30,0,0,1,1,1,252,1.96647,1.96647,41763,0,0.343667,0.185646,0.108598,27.3666,27.6144,483840
dynamic_crossing,mppi,1144,64,30,0,0,0,1,0,260,3.41912,3.65518,46292.7,0,0.761193,0.927845,0.0522275,13.5792,13.7901,499200
dynamic_crossing,mppi,1151,64,30,0,0,0,1,0,260,3.27784,3.52601,46074.3,0,0.846858,1.04458,0.0502741,13.0713,13.2698,499200
dynamic_crossing,mppi,1158,64,30,0,0,0,1,0,260,2.90194,3.12986,45494.7,0,0.803528,0.996858,0.0539917,14.0378,14.2499,499200
dynamic_crossing,sc_mppi_smooth,1164,64,30,0,0,1,1,1,252,1.87008,1.87008,41387.5,0,0.355678,0.208613,0.388984,98.024,98.3305,483840
dynamic_crossing,sc_mppi_smooth,1171,64,30,0,0,1,1,1,252,1.86189,1.86189,41463,0,0.359087,0.207822,0.0867487,21.8607,22.0836,483840
dynamic_crossing,sc_mppi_smooth,1178,64,30,0,0,1,1,1,253,1.93973,1.93973,41657.2,0,0.364804,0.202526,0.158293,40.048,40.3117,485760
dynamic_crossing,soppi,1184,64,30,0,0,0,1,0,260,4.08548,4.33105,46834.7,0,0.79806,0.943781,0.333859,86.8033,87.1225,499200
dynamic_crossing,soppi,1191,64,30,0,0,0,1,0,260,3.89171,4.14088,46664.3,0,0.82178,1.02256,0.25381,65.9907,66.2944,499200
dynamic_crossing,soppi,1198,64,30,0,0,0,1,0,260,3.39762,3.63669,46133.1,0,0.816059,0.991499,0.25155,65.4031,65.7121,499200
dynamic_crossing,soppi_fast,1204,64,30,0,0,0,1,0,260,3.69827,3.94819,46420.8,0,0.804785,1.02081,0.239241,62.2028,62.4969,499200
dynamic_crossing,soppi_fast,1211,64,30,0,0,0,1,0,260,3.20914,3.4359,45732.4,0,0.822395,1.06076,0.246273,64.0311,64.3487,499200
dynamic_crossing,soppi_fast,1218,64,30,0,0,0,1,0,260,4.17783,4.42746,46989.9,0,0.813767,0.999518,0.151466,39.3812,39.6223,499200
dynamic_crossing,step_mppi_smooth,1224,64,30,0,0,1,1,1,250,1.97854,1.97854,41102.5,0,0.369067,0.251543,0.187725,46.9311,84.1964,480000
dynamic_crossing,step_mppi_smooth,1231,64,30,0,0,1,1,1,251,1.93373,1.93373,41269.3,0,0.437374,0.325666,0.0565847,14.2028,16.5972,481920
dynamic_crossing,step_mppi_smooth,1238,64,30,0,0,1,1,1,252,1.85012,1.85012,41283.7,0,0.380217,0.231439,0.0683388,17.2214,23.0385,483840
dynamic_crossing,tsallis_mppi_smooth,1244,64,30,0,0,1,1,1,252,1.87426,1.87426,40997.8,0,0.448021,0.337771,0.172893,43.5691,43.8887,483840
dynamic_crossing,tsallis_mppi_smooth,1251,64,30,0,0,1,1,1,250,1.94756,1.94756,40884.1,0,0.435798,0.319326,0.176039,44.0097,44.2445,480000
dynamic_crossing,tsallis_mppi_smooth,1258,64,30,0,0,1,1,1,251,1.93289,1.93289,41153.6,0,0.455225,0.359781,0.0632548,15.877,16.0649,481920
dynamic_crossing,c2u_mppi_smooth,1128,128,30,0,0,1,1,1,252,1.94492,1.94492,41504.2,0,0.262524,0.117853,0.18028,45.4305,45.7048,967680
dynamic_crossing,c2u_mppi_smooth,1135,128,30,0,0,1,1,1,251,1.96407,1.96407,41275.7,0,0.242677,0.111338,0.309332,77.6424,77.9312,963840
dynamic_crossing,c2u_mppi_smooth,1142,128,30,0,0,1,1,1,252,1.8552,1.8552,41484.1,0,0.256207,0.108721,0.0841522,21.2063,21.4101,967680
