scenario,planner,seed,k_samples,t_horizon,grad_steps,alpha,reached_goal,collision_free,success,steps,final_distance,min_goal_distance,cumulative_cost,collisions,mean_control_delta,control_roughness,avg_control_ms,total_control_ms,episode_ms,sample_budget
box_turn,diff_mppi_1,6256,256,16,1,0.02,0,1,0,260,0.393557,0.124587,4.21986,0,0.318628,0.149387,0.878438,228.394,232.569,1064960
box_turn,diff_mppi_1,6263,256,16,1,0.02,0,1,0,260,0.372838,0.114555,4.00965,0,0.293034,0.131635,0.709485,184.466,188.228,1064960
box_turn,diff_mppi_1,6270,256,16,1,0.02,0,1,0,260,0.41819,0.127378,4.56175,0,0.323043,0.158641,0.651599,169.416,173.297,1064960
box_turn,diff_mppi_1,6277,256,16,1,0.02,0,1,0,260,0.389302,0.118051,4.17376,0,0.302832,0.137852,0.653972,170.033,174.093,1064960
box_turn,diff_mppi_3,6256,256,16,3,0.01,0,1,0,260,0.408689,0.120249,4.38401,0,0.319616,0.156859,1.77957,462.688,470.198,1064960
box_turn,diff_mppi_3,6263,256,16,3,0.01,0,1,0,260,0.373964,0.103996,3.96685,0,0.314769,0.174469,1.82323,474.04,482.076,1064960
box_turn,diff_mppi_3,6270,256,16,3,0.01,0,1,0,260,0.416274,0.121194,4.53616,0,0.334412,0.182772,1.76667,459.335,467.588,1064960
box_turn,diff_mppi_3,6277,256,16,3,0.01,0,1,0,260,0.354983,0.109412,3.70102,0,0.324328,0.182004,1.87675,487.954,495.886,1064960
box_turn,mppi,6256,256,16,0,0,0,1,0,260,0.401023,0.141268,4.46975,0,0.323152,0.162452,0.118749,30.8748,33.4212,1064960
box_turn,mppi,6263,256,16,0,0,0,1,0,260,0.403459,0.123229,4.5233,0,0.297437,0.129413,0.120132,31.2344,34.1293,1064960
box_turn,mppi,6270,256,16,0,0,0,1,0,260,0.409706,0.140012,4.50258,0,0.316923,0.140041,0.0744813,19.3651,21.7646,1064960
box_turn,mppi,6277,256,16,0,0,0,1,0,260,0.428648,0.129929,4.89635,0,0.298403,0.122856,0.0663363,17.2474,19.8899,1064960
box_turn,soppi,6256,256,16,0,0,0,1,0,260,0.401005,0.139901,4.57908,0,0.318282,0.158139,0.351176,91.3057,95.2917,1064960
box_turn,soppi,6263,256,16,0,0,0,1,0,260,0.383178,0.132706,4.2873,0,0.303382,0.145838,0.265072,68.9188,71.8701,1064960
box_turn,soppi,6270,256,16,0,0,0,1,0,260,0.405534,0.145033,4.56195,0,0.325136,0.159639,0.346236,90.0215,93.6083,1064960
box_turn,soppi,6277,256,16,0,0,0,1,0,260,0.411004,0.139766,4.6557,0,0.316392,0.153533,0.240406,62.5056,65.7468,1064960
box_turn,soppi_fast,6256,256,16,0,0,0,1,0,260,0.391027,0.146579,4.36652,0,0.336134,0.179472,0.230693,59.9802,63.1271,1064960
box_turn,soppi_fast,6263,256,16,0,0,0,1,0,260,0.380585,0.135783,4.26527,0,0.31584,0.159772,0.186806,48.5695,51.1511,1064960
box_turn,soppi_fast,6270,256,16,0,0,0,1,0,260,0.412774,0.142158,4.64835,0,0.332468,0.168274,0.158689,41.259,44.2172,1064960
box_turn,soppi_fast,6277,256,16,0,0,0,1,0,260,0.423117,0.13618,4.85186,0,0.300955,0.124872,0.262669,68.2941,71.7193,1064960
box_align,diff_mppi_1,6356,256,16,1,0.02,0,1,0,240,0.235049,0.020349,3.01749,0,0.328671,0.168671,0.704394,169.055,172.724,983040
box_align,diff_mppi_1,6363,256,16,1,0.02,1,1,1,84,0.218137,0.0380521,3.64874,0,0.491001,0.45383,0.597353,50.1777,51.1954,344064
box_align,diff_mppi_1,6370,256,16,1,0.02,0,1,0,240,0.226227,0.0321675,3.60841,0,0.313456,0.145164,0.723706,173.689,176.94,983040
box_align,diff_mppi_1,6377,256,16,1,0.02,0,1,0,240,0.921955,0.7,19.0762,0,0.253681,0.0845201,0.758236,181.977,185.376,983040
box_align,diff_mppi_3,6356,256,16,3,0.01,1,1,1,52,0.217269,0.0324348,2.08454,0,0.496367,0.357139,1.55678,80.9526,82.0282,212992
box_align,diff_mppi_3,6363,256,16,3,0.01,1,1,1,67,0.218231,0.0439146,3.51339,0,0.47488,0.411001,1.8067,121.049,122.528,274432
box_align,diff_mppi_3,6370,256,16,3,0.01,0,1,0,240,0.229185,0.0331101,3.61927,0,0.341404,0.203826,1.85377,444.905,450.293,983040
box_align,diff_mppi_3,6377,256,16,3,0.01,0,1,0,240,0.921955,0.7,19.0752,0,0.253678,0.0845159,1.87422,449.812,454.738,983040
box_align,mppi,6356,256,16,0,0,0,1,0,240,0.282537,0.0148982,3.41422,0,0.328108,0.165642,0.0670599,16.0944,18.2209,983040
box_align,mppi,6363,256,16,0,0,0,1,0,240,0.256781,0.0313449,4.66142,0,0.312296,0.157989,0.0667557,16.0214,17.8751,983040
box_align,mppi,6370,256,16,0,0,0,1,0,240,0.269193,0.0464512,4.01278,0,0.316733,0.146689,0.100022,24.0053,26.2017,983040
box_align,mppi,6377,256,16,0,0,0,1,0,240,0.921955,0.7,19.0781,0,0.253691,0.0845295,0.116826,28.0383,30.4409,983040
box_align,soppi,6356,256,16,0,0,0,1,0,240,0.282382,0.0194,3.43806,0,0.323044,0.153863,0.309923,74.3816,77.7047,983040
box_align,soppi,6363,256,16,0,0,0,1,0,240,0.270428,0.0337957,4.47749,0,0.286961,0.118618,0.325818,78.1964,80.9365,983040
box_align,soppi,6370,256,16,0,0,0,1,0,240,0.281348,0.0464264,3.82845,0,0.285716,0.107393,0.302965,72.7117,76.191,983040
box_align,soppi,6377,256,16,0,0,0,1,0,240,0.267617,0.0432701,5.07376,0,0.312685,0.165987,0.343589,82.4613,86.3115,983040
box_align,soppi_fast,6356,256,16,0,0,0,1,0,240,0.286724,0.017981,3.477,0,0.315841,0.146223,0.191205,45.8893,48.7804,983040
box_align,soppi_fast,6363,256,16,0,0,0,1,0,240,0.271191,0.0340855,4.49053,0,0.294158,0.130235,0.145787,34.989,37.3503,983040
box_align,soppi_fast,6370,256,16,0,0,0,1,0,240,0.271738,0.0458496,3.79526,0,0.324135,0.152686,0.212027,50.8864,54.1449,983040
box_align,soppi_fast,6377,256,16,0,0,0,1,0,240,0.272859,0.0447436,5.15306,0,0.311333,0.160863,0.20278,48.6672,52.8281,983040
box_pivot,diff_mppi_1,6456,256,16,1,0.02,0,1,0,240,0.113991,0.138908,0.877837,0,0.285674,0.109857,0.671954,161.269,165.078,983040
box_pivot,diff_mppi_1,6463,256,16,1,0.02,0,1,0,240,0.111819,0.138882,1.37725,0,0.278869,0.10278,0.703427,168.822,172.578,983040
box_pivot,diff_mppi_1,6470,256,16,1,0.02,0,1,0,240,0.111122,0.158159,0.963696,0,0.277205,0.0991516,0.631888,151.653,155.577,983040
box_pivot,diff_mppi_1,6477,256,16,1,0.02,0,1,0,240,0.115334,0.136735,1.07254,0,0.284796,0.109901,0.687615,165.028,168.838,983040
box_pivot,diff_mppi_3,6456,256,16,3,0.01,0,1,0,240,0.117489,0.121253,0.862252,0,0.291325,0.118595,1.81424,435.418,443.277,983040
box_pivot,diff_mppi_3,6463,256,16,3,0.01,0,1,0,240,0.113216,0.12776,1.36173,0,0.279279,0.104331,1.7446,418.704,424.736,983040
box_pivot,diff_mppi_3,6470,256,16,3,0.01,0,1,0,240,0.113383,0.123888,0.917681,0,0.281905,0.104439,1.65126,396.302,402.678,983040
box_pivot,diff_mppi_3,6477,256,16,3,0.01,0,1,0,240,0.11718,0.126081,1.05363,0,0.288802,0.113929,1.74689,419.254,426.871,983040
box_pivot,mppi,6456,256,16,0,0,0,1,0,240,0.10756,0.199127,0.982468,0,0.290117,0.112054,0.0792878,19.0291,21.458,983040
box_pivot,mppi,6463,256,16,0,0,0,1,0,240,0.110801,0.190415,1.48337,0,0.273423,0.0941281,0.0651727,15.6415,18.5845,983040
box_pivot,mppi,6470,256,16,0,0,0,1,0,240,0.107679,0.175232,1.01618,0,0.277319,0.097553,0.0746299,17.9112,20.4722,983040
box_pivot,mppi,6477,256,16,0,0,0,1,0,240,0.107542,0.18482,1.15155,0,0.280879,0.106653,0.0907644,21.7835,25.6305,983040
box_pivot,soppi,6456,256,16,0,0,0,1,0,240,0.105429,0.205152,0.993096,0,0.295429,0.121148,0.362497,86.9994,90.9672,983040
box_pivot,soppi,6463,256,16,0,0,0,1,0,240,0.105273,0.19519,1.30796,0,0.284784,0.104223,0.288589,69.2613,72.2971,983040
box_pivot,soppi,6470,256,16,0,0,0,1,0,240,0.108296,0.183778,1.00771,0,0.275321,0.097421,0.322855,77.4851,80.6956,983040
box_pivot,soppi,6477,256,16,0,0,0,1,0,240,0.108796,0.187711,1.12431,0,0.275369,0.0956013,0.294941,70.7859,73.699,983040
box_pivot,soppi_fast,6456,256,16,0,0,0,1,0,240,0.106787,0.198088,0.98174,0,0.293559,0.118556,0.234266,56.2239,59.1096,983040
box_pivot,soppi_fast,6463,256,16,0,0,0,1,0,240,0.104247,0.197596,1.36893,0,0.278643,0.0993443,0.146987,35.277,38.2896,983040
box_pivot,soppi_fast,6470,256,16,0,0,0,1,0,240,0.108878,0.183831,1.01583,0,0.279534,0.100351,0.191719,46.0125,48.7392,983040
box_pivot,soppi_fast,6477,256,16,0,0,0,1,0,240,0.109327,0.188988,1.12558,0,0.27544,0.0968124,0.217711,52.2505,55.197,983040
box_swivel,diff_mppi_1,6556,256,16,1,0.02,1,1,1,40,0.215879,0.0277856,0.628329,0,0.248393,0.0883044,0.605976,24.239,24.7412,163840
box_swivel,diff_mppi_1,6563,256,16,1,0.02,0,1,0,240,0.452769,0.3,4.57794,0,0.254657,0.0846275,0.689522,165.485,168.768,983040
box_swivel,diff_mppi_1,6570,256,16,1,0.02,1,1,1,71,0.214324,0.0198129,1.21536,0,0.279569,0.0959763,0.534636,37.9591,38.8377,290816
box_swivel,diff_mppi_1,6577,256,16,1,0.02,1,1,1,51,0.20887,0.0248858,0.826648,0,0.251907,0.0821987,0.819496,41.7943,42.6265,208896
box_swivel,diff_mppi_3,6556,256,16,3,0.01,1,1,1,40,0.206408,0.0343653,0.622846,0,0.242689,0.0856643,1.69807,67.9227,68.7106,163840
box_swivel,diff_mppi_3,6563,256,16,3,0.01,0,1,0,240,0.452769,0.3,4.57658,0,0.254603,0.0846026,1.88346,452.031,459.062,983040
box_swivel,diff_mppi_3,6570,256,16,3,0.01,1,1,1,70,0.211753,0.0297111,1.20022,0,0.283664,0.1002,1.58571,111,112.647,286720
box_swivel,diff_mppi_3,6577,256,16,3,0.01,1,1,1,50,0.213409,0.0373505,0.817517,0,0.258868,0.0871722,1.64021,82.0104,84.8746,204800
box_swivel,mppi,6556,256,16,0,0,1,1,1,44,0.214498,0.00771788,0.663732,0,0.238314,0.0766229,0.0656215,2.88735,3.27844,180224
box_swivel,mppi,6563,256,16,0,0,0,1,0,240,0.452769,0.3,4.58057,0,0.254754,0.0846738,0.0712292,17.095,19.2295,983040
box_swivel,mppi,6570,256,16,0,0,1,1,1,74,0.215667,0.000343055,1.24823,0,0.280672,0.098203,0.0761957,5.63848,6.47451,303104
box_swivel,mppi,6577,256,16,0,0,1,1,1,54,0.215528,0.0181293,0.856446,0,0.2514,0.0794752,0.0731518,3.9502,4.4173,221184
box_swivel,soppi,6556,256,16,0,0,1,1,1,44,0.218579,0.00549895,0.67011,0,0.245328,0.0807128,0.368561,16.2167,16.7937,180224
box_swivel,soppi,6563,256,16,0,0,1,1,1,228,0.215341,0.00177196,4.16319,0,0.261019,0.0876105,0.34588,78.8606,82.1265,933888
box_swivel,soppi,6570,256,16,0,0,1,1,1,70,0.214895,0.00477484,1.16302,0,0.263578,0.0881921,0.351215,24.585,25.4674,286720
box_swivel,soppi,6577,256,16,0,0,1,1,1,50,0.210687,0.0127382,0.772025,0,0.259468,0.0826748,0.258924,12.9462,13.5046,204800
box_swivel,soppi_fast,6556,256,16,0,0,1,1,1,43,0.218933,0.00595945,0.656539,0,0.23863,0.0766715,0.145989,6.27753,6.69853,176128
box_swivel,soppi_fast,6563,256,16,0,0,0,1,0,240,0.295435,0.0498379,4.48941,0,0.257909,0.0863782,0.205575,49.3381,51.9836,983040
box_swivel,soppi_fast,6570,256,16,0,0,1,1,1,70,0.21723,0.00484487,1.1688,0,0.266554,0.089623,0.210926,14.7648,15.603,286720
box_swivel,soppi_fast,6577,256,16,0,0,1,1,1,50,0.214051,0.0160915,0.776312,0,0.259406,0.0824995,0.207114,10.3557,10.8374,204800
box_align_strict,diff_mppi_1,6656,256,16,1,0.02,1,1,1,77,0.267547,0.068114,4.48338,0,0.442774,0.326867,0.69732,53.6936,54.7612,315392
box_align_strict,diff_mppi_1,6663,256,16,1,0.02,1,1,1,95,0.275146,0.0458737,5.74621,0,0.430064,0.352247,0.790171,75.0662,76.5831,389120
box_align_strict,diff_mppi_1,6670,256,16,1,0.02,1,1,1,64,0.278222,0.0478933,3.21622,0,0.387011,0.285232,0.705709,45.1654,46.1108,262144
box_align_strict,diff_mppi_1,6677,256,16,1,0.02,1,1,1,56,0.275182,0.0591994,2.78881,0,0.463058,0.408825,0.562844,31.5193,32.209,229376
box_align_strict,diff_mppi_3,6656,256,16,3,0.01,1,1,1,77,0.252502,0.0738754,4.47342,0,0.404244,0.254766,1.80407,138.913,140.834,315392
box_align_strict,diff_mppi_3,6663,256,16,3,0.01,1,1,1,94,0.275051,0.0489125,5.67671,0,0.43408,0.374595,1.72413,162.068,167.189,385024
box_align_strict,diff_mppi_3,6670,256,16,3,0.01,1,1,1,58,0.274825,0.0635675,3.08172,0,0.410027,0.273972,1.94836,113.005,114.351,237568
box_align_strict,diff_mppi_3,6677,256,16,3,0.01,1,1,1,55,0.272247,0.0672213,2.79569,0,0.45314,0.328832,1.5028,82.6542,83.7391,225280
box_align_strict,mppi,6656,256,16,0,0,1,1,1,82,0.279685,0.0202052,4.59363,0,0.35822,0.194506,0.0935183,7.6685,8.46828,335872
box_align_strict,mppi,6663,256,16,0,0,1,1,1,98,0.27904,0.0408378,5.83319,0,0.363195,0.245733,0.0875046,8.57545,9.52805,401408
box_align_strict,mppi,6670,256,16,0,0,0,1,0,240,0.293706,0.0291684,4.55918,0,0.303526,0.146006,0.0821752,19.722,22.0291,983040
box_align_strict,mppi,6677,256,16,0,0,1,1,1,64,0.279613,0.0392783,3.01352,0,0.363638,0.199715,0.0993651,6.35937,6.93239,262144
box_align_strict,soppi,6656,256,16,0,0,1,1,1,92,0.279379,0.00607079,4.53398,0,0.33525,0.149234,0.295474,27.1836,28.3204,376832
box_align_strict,soppi,6663,256,16,0,0,0,1,0,240,0.280708,0.0305442,5.7625,0,0.32437,0.151194,0.272469,65.3925,68.4412,983040
box_align_strict,soppi,6670,256,16,0,0,0,1,0,240,0.294957,0.0361869,4.34913,0,0.309828,0.162406,0.29302,70.3248,73.4307,983040
box_align_strict,soppi,6677,256,16,0,0,1,1,1,64,0.278836,0.0416864,2.88943,0,0.365394,0.205098,0.376316,24.0842,24.9766,262144
box_align_strict,soppi_fast,6656,256,16,0,0,1,1,1,83,0.278407,0.01021,4.43191,0,0.389234,0.239346,0.181845,15.0931,15.9259,339968
box_align_strict,soppi_fast,6663,256,16,0,0,1,1,1,88,0.277141,0.0280756,4.79286,0,0.342504,0.171233,0.157586,13.8676,14.7441,360448
box_align_strict,soppi_fast,6670,256,16,0,0,0,1,0,240,0.28394,0.0317549,4.29681,0,0.293951,0.131651,0.230057,55.2136,58.1242,983040
box_align_strict,soppi_fast,6677,256,16,0,0,1,1,1,65,0.277326,0.0363038,2.89562,0,0.375844,0.238852,0.193617,12.5851,13.5642,266240
