scenario,planner,k_samples,episodes,real_time_successes,real_time_success_rate,success_ci_low,success_ci_high,deadline_misses,mean_control_ms,max_control_ms,mean_final_distance
box_swivel,mppi,1024,30,29,0.9666666666666667,0.8332960900859082,0.9940914096183874,0,2.930292,4.2208,0.22361216666666667
box_swivel,diff_mppi_3,1024,30,30,1.0,0.8864866068260312,0.9999999999999999,0,5.6756910000000005,6.8798,0.21169076666666667
box_swivel,soppi_fast,1024,30,30,1.0,0.8864866068260312,0.9999999999999999,0,5.5358849999999995,6.4436,0.21554953333333332
box_align_strict,mppi,1024,30,28,0.9333333333333333,0.7867654163738308,0.9815229762087295,1,2.935483,10.7813,0.2782451
box_align_strict,diff_mppi_3,1024,30,30,1.0,0.8864866068260312,0.9999999999999999,0,5.344381666666666,6.8662,0.27105416666666665
box_align_strict,soppi_fast,1024,30,30,1.0,0.8864866068260312,0.9999999999999999,0,5.420260666666667,6.2642,0.2767344
box_align_detour,mppi,1024,30,0,0.0,0.0,0.11351339317396876,0,3.1271186666666666,4.6453,0.29873393333333337
box_align_detour,diff_mppi_3,1024,30,0,0.0,0.0,0.11351339317396876,1,5.854107,11.0003,0.26016363333333337
box_align_detour,soppi_fast,1024,30,0,0.0,0.0,0.11351339317396876,54,6.213182333333333,65.9033,0.2845873
box_align_contact_loss,mppi,1024,30,14,0.4666666666666667,0.30232388907699753,0.638577003801267,3,2.9833089999999998,12.2433,0.2825647
box_align_contact_loss,diff_mppi_3,1024,30,30,1.0,0.8864866068260312,0.9999999999999999,0,5.417744666666667,6.71,0.2743763
box_align_contact_loss,soppi_fast,1024,30,29,0.9666666666666667,0.8332960900859082,0.9940914096183874,1,5.500387,10.7911,0.2780768
box_align_contact_arc,mppi,1024,30,30,1.0,0.8864866068260312,0.9999999999999999,0,2.117818133333333,4.3018,0.2983038
box_align_contact_arc,diff_mppi_3,1024,30,30,1.0,0.8864866068260312,0.9999999999999999,0,4.571762333333334,6.3916,0.29364643333333335
box_align_contact_arc,soppi_fast,1024,30,30,1.0,0.8864866068260312,0.9999999999999999,0,4.607442666666667,6.466,0.2963711666666667
