scenario,planner,seed,k_samples,t_horizon,grad_steps,alpha,reached_goal,collision_free,success,steps,final_distance,min_goal_distance,cumulative_cost,collisions,mean_control_delta,control_roughness,avg_control_ms,total_control_ms,episode_ms,sample_budget
box_turn,diff_mppi_3,6256,256,16,3,0.01,0,1,0,260,0.408689,0.120249,4.38401,0,0.319616,0.156859,2.35763,612.984,631.005,1064960
box_turn,diff_mppi_3,6263,256,16,3,0.01,0,1,0,260,0.373964,0.103996,3.96685,0,0.314769,0.174469,2.4282,631.332,643.627,1064960
box_turn,diff_mppi_3,6270,256,16,3,0.01,0,1,0,260,0.416274,0.121194,4.53616,0,0.334412,0.182772,2.70757,703.968,716.452,1064960
box_turn,diff_mppi_3,6277,256,16,3,0.01,0,1,0,260,0.354983,0.109412,3.70102,0,0.324328,0.182004,2.30101,598.262,607.109,1064960
box_turn,mppi,6256,256,16,0,0,0,1,0,260,0.401023,0.141268,4.46975,0,0.323152,0.162452,0.152727,39.709,53.123,1064960
box_turn,mppi,6263,256,16,0,0,0,1,0,260,0.403459,0.123229,4.5233,0,0.297437,0.129413,0.0773837,20.1198,25.5676,1064960
box_turn,mppi,6270,256,16,0,0,0,1,0,260,0.409706,0.140012,4.50258,0,0.316923,0.140041,0.0783126,20.3613,25.6234,1064960
box_turn,mppi,6277,256,16,0,0,0,1,0,260,0.428648,0.129929,4.89635,0,0.298403,0.122856,0.153346,39.87,53.2316,1064960
box_turn,soppi,6256,256,16,0,0,0,1,0,260,0.400997,0.139891,4.579,0,0.318263,0.158122,0.473117,123.011,129.673,1064960
box_turn,soppi,6263,256,16,0,0,0,1,0,260,0.383174,0.132693,4.28726,0,0.303381,0.145837,0.482628,125.483,133.982,1064960
box_turn,soppi,6270,256,16,0,0,0,1,0,260,0.405434,0.144947,4.56075,0,0.325402,0.16015,0.443158,115.221,123.292,1064960
box_turn,soppi,6277,256,16,0,0,0,1,0,260,0.411008,0.139765,4.65574,0,0.3164,0.153539,0.360387,93.7007,101.446,1064960
box_turn,soppi_fast,6256,256,16,0,0,0,1,0,260,0.407135,0.147499,4.67056,0,0.319492,0.150028,0.442485,115.046,123.216,1064960
box_turn,soppi_fast,6263,256,16,0,0,0,1,0,260,0.406427,0.12557,4.57196,0,0.294224,0.133104,0.490943,127.645,134.828,1064960
box_turn,soppi_fast,6270,256,16,0,0,0,1,0,260,0.415712,0.14611,4.65163,0,0.325309,0.153805,0.639423,166.25,177.064,1064960
box_turn,soppi_fast,6277,256,16,0,0,0,1,0,260,0.401633,0.144579,4.53116,0,0.297716,0.121812,1.12449,292.367,304.076,1064960
box_align,diff_mppi_3,6356,256,16,3,0.01,1,1,1,52,0.217269,0.0324348,2.08454,0,0.496367,0.357139,2.33954,121.656,123.208,212992
box_align,diff_mppi_3,6363,256,16,3,0.01,1,1,1,67,0.218231,0.0439146,3.51339,0,0.47488,0.411001,2.31938,155.399,157.545,274432
box_align,diff_mppi_3,6370,256,16,3,0.01,0,1,0,240,0.229185,0.0331101,3.61927,0,0.341404,0.203826,4.45102,1068.25,1095.4,983040
box_align,diff_mppi_3,6377,256,16,3,0.01,0,1,0,240,0.921955,0.7,19.0752,0,0.253678,0.0845159,3.86618,927.883,944.203,983040
box_align,mppi,6356,256,16,0,0,0,1,0,240,0.282537,0.0148982,3.41422,0,0.328108,0.165642,0.140785,33.7884,39.7692,983040
box_align,mppi,6363,256,16,0,0,0,1,0,240,0.256781,0.0313449,4.66142,0,0.312296,0.157989,0.64618,155.083,159.588,983040
box_align,mppi,6370,256,16,0,0,0,1,0,240,0.269193,0.0464512,4.01278,0,0.316733,0.146689,0.245295,58.8707,84.3202,983040
box_align,mppi,6377,256,16,0,0,0,1,0,240,0.921955,0.7,19.0781,0,0.253691,0.0845295,0.100402,24.0965,27.2621,983040
box_align,soppi,6356,256,16,0,0,0,1,0,240,0.282922,0.0198411,3.44091,0,0.322817,0.153851,0.505442,121.306,127.806,983040
box_align,soppi,6363,256,16,0,0,0,1,0,240,0.270427,0.0337959,4.47749,0,0.286961,0.118619,0.477908,114.698,122.5,983040
box_align,soppi,6370,256,16,0,0,0,1,0,240,0.281348,0.0464196,3.82844,0,0.285717,0.107392,0.509356,122.245,128.544,983040
box_align,soppi,6377,256,16,0,0,0,1,0,240,0.267478,0.0435487,5.07349,0,0.312578,0.166017,0.467291,112.15,120.055,983040
box_align,soppi_fast,6356,256,16,0,0,0,1,0,240,0.281805,0.0170176,3.46648,0,0.317749,0.146923,0.663859,159.326,165.346,983040
box_align,soppi_fast,6363,256,16,0,0,0,1,0,240,0.285176,0.037654,4.55147,0,0.303681,0.139279,0.76629,183.91,197.447,983040
box_align,soppi_fast,6370,256,16,0,0,0,1,0,240,0.272708,0.0423417,3.63371,0,0.304691,0.140433,0.545124,130.83,139.331,983040
box_align,soppi_fast,6377,256,16,0,0,0,1,0,240,0.273868,0.0429788,3.71189,0,0.307169,0.155859,0.493446,118.427,130.886,983040
box_pivot,diff_mppi_3,6456,256,16,3,0.01,0,1,0,240,0.117489,0.121253,0.862252,0,0.291325,0.118595,1.97114,473.074,480.499,983040
box_pivot,diff_mppi_3,6463,256,16,3,0.01,0,1,0,240,0.113216,0.12776,1.36173,0,0.279279,0.104331,2.23449,536.277,544.229,983040
box_pivot,diff_mppi_3,6470,256,16,3,0.01,0,1,0,240,0.113383,0.123888,0.917681,0,0.281905,0.104439,1.91522,459.652,466.615,983040
box_pivot,diff_mppi_3,6477,256,16,3,0.01,0,1,0,240,0.11718,0.126081,1.05363,0,0.288802,0.113929,2.1419,514.057,521.891,983040
box_pivot,mppi,6456,256,16,0,0,0,1,0,240,0.10756,0.199127,0.982468,0,0.290117,0.112054,0.212959,51.11,57.2554,983040
