condition,scenario,planner,k_samples,episodes,successes,success_rate,success_wilson_low,success_wilson_high,final_distance_mean,cost_mean,control_ms_mean,control_ms_p95,collision_mean
gain_0p8,box_align_contact_arc,diff_mppi_1,128,30,30,1.0,0.8864866068260312,0.9999999999999999,0.29504959999999997,3.092587,0.8524558333333334,0.8584137000000001,0.0
gain_0p8,box_align_contact_arc,diff_mppi_1,256,30,30,1.0,0.8864866068260312,0.9999999999999999,0.2938193,2.925889666666667,0.8853325000000001,0.8912055,0.0
gain_0p8,box_align_contact_arc,diff_mppi_1,512,30,30,1.0,0.8864866068260312,0.9999999999999999,0.2946837666666667,2.880286666666667,0.9146642333333334,0.9206345,0.0
gain_0p8,box_align_contact_arc,diff_mppi_3,128,30,30,1.0,0.8864866068260312,0.9999999999999999,0.2932068666666667,2.9328176666666668,2.424814,2.4498175,0.0
gain_0p8,box_align_contact_arc,diff_mppi_3,256,30,30,1.0,0.8864866068260312,0.9999999999999999,0.2929357,2.7797256666666663,2.439476,2.455069,0.0
gain_0p8,box_align_contact_arc,diff_mppi_3,512,30,30,1.0,0.8864866068260312,0.9999999999999999,0.29354236666666667,2.7368900000000003,2.4731443333333334,2.4776,0.0
gain_0p8,box_align_contact_arc,mppi,128,30,30,1.0,0.8864866068260312,0.9999999999999999,0.2963194333333333,3.6085286666666665,0.08209187,0.10808059999999999,0.0
gain_0p8,box_align_contact_arc,mppi,256,30,30,1.0,0.8864866068260312,0.9999999999999999,0.29616000000000003,3.372440666666667,0.10090584666666666,0.10727985,0.0
gain_0p8,box_align_contact_arc,mppi,512,30,30,1.0,0.8864866068260312,0.9999999999999999,0.29656746666666667,3.303036,0.14876743333333334,0.16341095,0.0
gain_0p8,box_align_contact_arc,mppi_hardmodel,128,30,0,0.0,0.0,0.11351339317396876,0.9280050000000001,26.683873333333334,0.11347063333333333,0.12206909999999999,0.0
gain_0p8,box_align_contact_arc,mppi_hardmodel,256,30,0,0.0,0.0,0.11351339317396876,0.9196947666666666,23.72411333333333,0.14221393333333332,0.15540395,0.0
gain_0p8,box_align_contact_arc,mppi_hardmodel,512,30,0,0.0,0.0,0.11351339317396876,0.9131012333333334,21.091263333333334,0.18070783333333335,0.19621585000000002,0.0
gain_0p8,box_align_contact_arc,soppi,128,30,30,1.0,0.8864866068260312,0.9999999999999999,0.2957501,3.5788676666666666,0.28200916666666664,0.28678715,0.0
gain_0p8,box_align_contact_arc,soppi,256,30,30,1.0,0.8864866068260312,0.9999999999999999,0.2965701,3.326274666666667,0.3805018333333334,0.3855204,0.0
gain_0p8,box_align_contact_arc,soppi,512,30,30,1.0,0.8864866068260312,0.9999999999999999,0.2964714,3.2473466666666666,0.5954861,0.5991934999999999,0.0
gain_0p8,box_align_contact_arc,soppi_fast,128,30,30,1.0,0.8864866068260312,0.9999999999999999,0.2951101666666667,3.295134,1.2631576666666668,1.27104,0.0
gain_0p8,box_align_contact_arc,soppi_fast,256,30,30,1.0,0.8864866068260312,0.9999999999999999,0.29533516666666665,3.097763,1.3435636666666668,1.348233,0.0
gain_0p8,box_align_contact_arc,soppi_fast,512,30,30,1.0,0.8864866068260312,0.9999999999999999,0.2946210666666667,3.011618,1.5467093333333333,1.5478224999999999,0.0
gain_0p8,box_align_contact_loss,diff_mppi_1,128,30,30,1.0,0.8864866068260312,0.9999999999999999,0.27371676666666667,3.089093333333333,0.8588631666666667,0.87325875,0.0
gain_0p8,box_align_contact_loss,diff_mppi_1,256,30,30,1.0,0.8864866068260312,0.9999999999999999,0.27453463333333333,3.00337,0.8818260666666667,0.8911471500000001,0.0
gain_0p8,box_align_contact_loss,diff_mppi_1,512,30,30,1.0,0.8864866068260312,0.9999999999999999,0.27407766666666666,2.9204046666666668,0.9154015666666666,0.92128835,0.0
