condition,scenario,planner,baseline,k_samples,paired_episodes,success_delta,success_delta_ci_low,success_delta_ci_high,final_distance_delta,final_distance_delta_ci_low,final_distance_delta_ci_high,candidate_only_successes,baseline_only_successes,mcnemar_p,mcnemar_holm_p
gain_1p2,box_align_contact_arc,diff_mppi_3,mppi,128,30,0.3333333333333333,0.13333333333333333,0.5333333333333333,-0.0078683,-0.011838246666666665,-0.004047354166666675,12,2,0.012939453125,1.0
gain_1p2,box_align_contact_arc,soppi_fast,mppi,128,30,0.26666666666666666,0.06666666666666667,0.4666666666666667,-0.005022466666666662,-0.008043820833333326,-0.002319519166666664,10,2,0.03857421875,1.0
gain_1p2,box_align_contact_arc,diff_mppi_3,mppi,256,30,0.4666666666666667,0.3,0.6333333333333333,-0.0082361,-0.010049069999999998,-0.006475696666666676,14,0,0.0001220703125,0.039794921875
gain_1p2,box_align_contact_arc,soppi_fast,mppi,256,30,0.3,0.13250000000000028,0.5,-0.002985200000000001,-0.004868155833333338,-0.0011451000000000035,10,1,0.01171875,1.0
gain_1p2,box_align_contact_arc,diff_mppi_3,mppi,512,30,0.4,0.23333333333333334,0.5666666666666667,-0.0075704,-0.0089595625,-0.006116165833333331,12,0,0.00048828125,0.15380859375
gain_1p2,box_align_contact_arc,soppi_fast,mppi,512,30,0.3,0.1,0.5,-0.004314933333333336,-0.005821271666666671,-0.002794529166666667,11,2,0.0224609375,1.0
gain_1p2,box_align_contact_loss,diff_mppi_3,mppi,128,30,0.6,0.4,0.8,-0.01494936666666667,-0.020823802500000002,-0.009285512499999997,19,1,4.00543212890625e-05,0.01329803466796875
gain_1p2,box_align_contact_loss,soppi_fast,mppi,128,30,0.16666666666666666,0.0,0.36666666666666664,-0.0053066000000000025,-0.009885598333333332,-0.000671921666666671,7,2,0.1796875,1.0
gain_1p2,box_align_contact_loss,diff_mppi_3,mppi,256,30,0.8,0.6333333333333333,0.9333333333333333,-0.01893063333333333,-0.02208740083333333,-0.01572259833333333,24,0,1.1920928955078125e-07,4.2557716369628906e-05
gain_1p2,box_align_contact_loss,soppi_fast,mppi,256,30,0.3333333333333333,0.13333333333333333,0.5333333333333333,-0.011227266666666659,-0.014114245833333325,-0.008251919166666665,11,1,0.00634765625,1.0
