file,score,kernels,kernel_loops,nested_kernel_loops,d2h,h2d,syncs,atomics,allocations,transcendentals,large_local_arrays,signals
src/comparison_hybrid_astar.cu,37,3,4,0,4,6,3,1,8,4,0,4 kernel loops; D2H+H2D round trip; 3 explicit sync; 1 atomics; 4 transcendental sites
src/differential_evolution.cu,37,6,4,0,3,1,6,1,6,0,0,4 kernel loops; D2H+H2D round trip; 6 explicit sync; 1 atomics
src/gpu_crowd_swarm.cu,37,3,3,1,2,3,1,2,5,4,0,nested kernel loops; 3 kernel loops; D2H+H2D round trip; 1 explicit sync; 2 atomics; 4 transcendental sites
src/hybrid_astar.cu,37,3,4,0,4,6,3,1,8,4,0,4 kernel loops; D2H+H2D round trip; 3 explicit sync; 1 atomics; 4 transcendental sites
src/gpu_direct_vo.cu,36,1,5,1,1,4,0,1,4,2,0,nested kernel loops; 5 kernel loops; D2H+H2D round trip; 1 atomics
src/gpu_hungarian_assignment.cu,36,1,4,0,4,2,1,1,6,0,3,4 kernel loops; D2H+H2D round trip; 1 explicit sync; 1 atomics; 3 symbolic local arrays
src/voronoi_road_map.cu,36,4,3,1,2,2,4,0,5,1,0,nested kernel loops; 3 kernel loops; D2H+H2D round trip; 4 explicit sync
src/comparison_orca.cu,35,5,4,0,8,18,1,0,24,10,0,4 kernel loops; D2H+H2D round trip; 1 explicit sync; 10 transcendental sites
src/gpu_frontier_exploration.cu,35,3,2,1,5,2,0,5,6,0,0,nested kernel loops; D2H+H2D round trip; 5 atomics
src/comparison_gaussian_splatting.cu,34,2,2,1,4,2,0,4,6,1,0,nested kernel loops; D2H+H2D round trip; 4 atomics
src/cma_es.cu,33,3,3,1,2,4,3,0,5,0,0,nested kernel loops; 3 kernel loops; D2H+H2D round trip; 3 explicit sync
src/gpu_gat_traversability_policy.cu,33,2,3,1,2,2,3,0,4,1,0,nested kernel loops; 3 kernel loops; D2H+H2D round trip; 3 explicit sync
src/gpu_multi_robot_place_graph_slam.cu,33,3,1,0,3,7,0,8,10,1,0,D2H+H2D round trip; 8 atomics
src/gpu_diffusion_planner.cu,32,3,4,1,3,0,1,0,5,5,0,nested kernel loops; 4 kernel loops; 1 explicit sync; 5 transcendental sites
src/comparison_esdf_3d.cu,31,3,3,1,1,1,2,0,4,1,0,nested kernel loops; 3 kernel loops; D2H+H2D round trip; 2 explicit sync
src/gpu_interaction_graph_neural_mppi.cu,31,5,4,0,6,9,1,0,22,4,0,4 kernel loops; D2H+H2D round trip; 1 explicit sync; 4 transcendental sites
src/voxel_grid_filter.cu,31,3,1,0,4,0,2,8,9,0,0,2 explicit sync; 8 atomics
src/dynamic_window_approach.cu,30,2,4,0,3,1,0,0,7,6,0,4 kernel loops; D2H+H2D round trip; 6 transcendental sites
src/benchmark_mppi_rng.cu,29,6,5,0,0,0,3,0,2,6,0,5 kernel loops; 3 explicit sync; 6 transcendental sites
src/comparison_voronoi.cu,29,3,2,1,1,2,3,0,4,0,0,nested kernel loops; D2H+H2D round trip; 3 explicit sync
src/pf_realistic_obs.cu,29,8,5,0,5,4,0,0,9,1,0,5 kernel loops; D2H+H2D round trip
src/gpu_bnb_loop_closure_slam.cu,28,4,3,0,4,8,2,0,11,2,0,3 kernel loops; D2H+H2D round trip; 2 explicit sync
src/diff_pf.cu,27,6,2,0,11,17,0,0,19,8,0,D2H+H2D round trip; 8 transcendental sites
src/diff_pf_mlp.cu,27,5,2,0,5,20,1,0,18,6,0,D2H+H2D round trip; 1 explicit sync; 6 transcendental sites
src/orca.cu,27,4,2,0,4,9,1,0,15,6,0,D2H+H2D round trip; 1 explicit sync; 6 transcendental sites
src/state_lattice_planner.cu,27,2,3,0,5,3,1,0,7,4,0,3 kernel loops; D2H+H2D round trip; 1 explicit sync; 4 transcendental sites
src/comparison_dwa_visual.cu,26,2,3,0,5,1,0,0,7,5,0,3 kernel loops; D2H+H2D round trip; 5 transcendental sites
src/benchmark_dwa.cu,25,2,4,0,0,1,1,0,5,6,0,4 kernel loops; 1 explicit sync; 6 transcendental sites
src/gpu_branch_and_bound_csm.cu,25,3,2,0,3,8,3,0,8,0,0,D2H+H2D round trip; 3 explicit sync
src/gpu_diff_value_iteration_traversability.cu,25,2,2,0,3,2,3,0,5,3,0,D2H+H2D round trip; 3 explicit sync
src/multi_robot_planner.cu,25,2,2,0,2,9,1,0,11,4,0,D2H+H2D round trip; 1 explicit sync; 4 transcendental sites
src/comparison_dwa.cu,24,2,3,0,3,1,0,0,5,5,0,3 kernel loops; D2H+H2D round trip; 5 transcendental sites
src/comparison_esdf.cu,24,3,2,1,1,1,0,0,4,1,0,nested kernel loops; D2H+H2D round trip
src/gpu_dbscan.cu,24,4,2,0,7,4,2,2,5,0,0,D2H+H2D round trip; 2 explicit sync; 2 atomics
