scenario,planner,seed,k_samples,t_horizon,grad_steps,alpha,reached_goal,collision_free,success,steps,final_distance,min_goal_distance,cumulative_cost,collisions,mean_control_delta,control_roughness,avg_control_ms,total_control_ms,episode_ms,sample_budget
box_turn,diff_mppi_1,6256,256,16,1,0.02,0,1,0,260,0.393557,0.124587,4.21986,0,0.318628,0.149387,5.29784,1377.44,1384.56,1064960
box_turn,diff_mppi_1,6263,256,16,1,0.02,0,1,0,260,0.372838,0.114555,4.00965,0,0.293034,0.131635,4.74416,1233.48,1240.06,1064960
box_turn,diff_mppi_1,6270,256,16,1,0.02,0,1,0,260,0.41819,0.127378,4.56175,0,0.323043,0.158641,5.06966,1318.11,1324.88,1064960
box_turn,diff_mppi_1,6277,256,16,1,0.02,0,1,0,260,0.389302,0.118051,4.17376,0,0.302832,0.137852,6.00211,1560.55,1567.55,1064960
box_turn,diff_mppi_3,6256,256,16,3,0.01,0,1,0,260,0.408689,0.120249,4.38401,0,0.319616,0.156859,7.20777,1874.02,1881.7,1064960
box_turn,diff_mppi_3,6263,256,16,3,0.01,0,1,0,260,0.373964,0.103996,3.96685,0,0.314769,0.174469,6.21588,1616.13,1624.96,1064960
box_turn,diff_mppi_3,6270,256,16,3,0.01,0,1,0,260,0.416274,0.121194,4.53616,0,0.334412,0.182772,6.62868,1723.46,1730.39,1064960
box_turn,diff_mppi_3,6277,256,16,3,0.01,0,1,0,260,0.354983,0.109412,3.70102,0,0.324328,0.182004,6.51791,1694.66,1702.06,1064960
box_turn,mppi,6256,256,16,0,0,0,1,0,260,0.401023,0.141268,4.46975,0,0.323152,0.162452,4.89972,1273.93,1289.99,1064960
box_turn,mppi,6263,256,16,0,0,0,1,0,260,0.403459,0.123229,4.5233,0,0.297437,0.129413,5.40063,1404.16,1421.51,1064960
box_turn,mppi,6270,256,16,0,0,0,1,0,260,0.409706,0.140012,4.50258,0,0.316923,0.140041,2.17518,565.546,576.185,1064960
box_turn,mppi,6277,256,16,0,0,0,1,0,260,0.428648,0.129929,4.89635,0,0.298403,0.122856,4.07335,1059.07,1075.92,1064960
box_turn,soppi,6256,256,16,0,0,0,1,0,260,0.400997,0.139891,4.579,0,0.318263,0.158122,3.35919,873.39,888.026,1064960
box_turn,soppi,6263,256,16,0,0,0,1,0,260,0.383174,0.132693,4.28726,0,0.303381,0.145837,5.26471,1368.82,1385.12,1064960
box_turn,soppi,6270,256,16,0,0,0,1,0,260,0.405434,0.144947,4.56075,0,0.325402,0.16015,3.9041,1015.07,1029.4,1064960
box_turn,soppi,6277,256,16,0,0,0,1,0,260,0.411008,0.139765,4.65574,0,0.3164,0.153539,4.9395,1284.27,1300.63,1064960
box_turn,soppi_fast,6256,256,16,1,0.01,0,1,0,260,0.41201,0.133078,4.6425,0,0.312821,0.148405,6.39245,1662.04,1668.29,1064960
box_turn,soppi_fast,6263,256,16,1,0.01,0,1,0,260,0.370607,0.132138,4.00745,0,0.305862,0.149827,5.12222,1331.78,1338.89,1064960
box_turn,soppi_fast,6270,256,16,1,0.01,0,1,0,260,0.399234,0.134417,4.3837,0,0.330242,0.168152,5.39045,1401.52,1408.14,1064960
box_turn,soppi_fast,6277,256,16,1,0.01,0,1,0,260,0.403997,0.127071,4.47556,0,0.292696,0.120484,5.2931,1376.21,1382.96,1064960
box_align,diff_mppi_1,6356,256,16,1,0.02,0,1,0,240,0.235049,0.020349,3.01749,0,0.328671,0.168671,5.9845,1436.28,1442.92,983040
box_align,diff_mppi_1,6363,256,16,1,0.02,1,1,1,84,0.218137,0.0380521,3.64874,0,0.491001,0.45383,3.41033,286.467,288.726,344064
box_align,diff_mppi_1,6370,256,16,1,0.02,0,1,0,240,0.226227,0.0321675,3.60841,0,0.313456,0.145164,6.15101,1476.24,1482.52,983040
box_align,diff_mppi_1,6377,256,16,1,0.02,0,1,0,240,0.921955,0.7,19.0762,0,0.253681,0.0845201,4.02274,965.458,971.236,983040
box_align,diff_mppi_3,6356,256,16,3,0.01,1,1,1,52,0.217269,0.0324348,2.08454,0,0.496367,0.357139,5.48734,285.342,286.502,212992
box_align,diff_mppi_3,6363,256,16,3,0.01,1,1,1,67,0.218231,0.0439146,3.51339,0,0.47488,0.411001,5.56009,372.526,374.008,274432
box_align,diff_mppi_3,6370,256,16,3,0.01,0,1,0,240,0.229185,0.0331101,3.61927,0,0.341404,0.203826,4.41531,1059.67,1065.23,983040
